full_name,rating,jersey,team,position,b_day,height,weight,salary,country,draft_year,draft_round,draft_peak,college,version,TWITTER_FAVORITE_COUNT,TWITTER_RETWEET_COUNT
Jimmy Butler,88,#22,Miami Heat,G,9/14/1989,6-7 / 2.01,220 lbs. / 99.8 kg.,"$32,742,000 ",USA,2011,1,30,Marquette,NBA2k20,89.5,30
Rudy Gobert,88,#27,Utah Jazz,C,6/26/1992,7-1 / 2.16,238 lbs. / 108 kg.,"$25,258,427 ",France,2013,1,27,,NBA2k20,731,225.5
Blake Griffin,88,#23,Detroit Pistons,F,3/16/1989,6-9 / 2.06,252 lbs. / 114.3 kg.,"$34,449,964 ",USA,2009,1,1,Oklahoma,NBA2k20,269,98.5
Donovan Mitchell,88,#45,Utah Jazz,G,9/7/1996,6-1 / 1.85,211 lbs. / 95.7 kg.,"$3,635,760 ",USA,2017,1,13,Louisville,NBA2k20,#N/A,#N/A
Kemba Walker,88,#8,Boston Celtics,G,5/8/1990,6-0 / 1.83,172 lbs. / 78 kg.,"$32,742,000 ",USA,2011,1,9,UConn,NBA2k20,59.5,32.5
Luka Doncic,87,#77,Dallas Mavericks,G-F,2/28/1999,6-7 / 2.01,227 lbs. / 103 kg.,"$7,683,360 ",Slovenia,2018,1,3,,NBA2k20,#N/A,#N/A
LaMarcus Aldridge,87,#12,San Antonio Spurs,F-C,7/19/1985,6-11 / 2.11,246 lbs. / 111.6 kg.,"$26,000,000 ",USA,2006,1,2,Texas,NBA2k20,195,63
Bradley Beal,87,#3,Washington Wizards,G,6/28/1993,6-3 / 1.91,207 lbs. / 93.9 kg.,"$27,093,018 ",USA,2012,1,3,Florida,NBA2k20,55.5,40.5
Mike Conley,87,#10,Utah Jazz,G,10/11/1987,6-1 / 1.85,185 lbs. / 83.9 kg.,"$32,511,623 ",USA,2007,1,4,Ohio State,NBA2k20,257.5,90
DeMar DeRozan,87,#10,San Antonio Spurs,G-F,8/7/1989,6-6 / 1.98,220 lbs. / 99.8 kg.,"$27,739,975 ",USA,2009,1,9,USC,NBA2k20,0,186
CJ McCollum,87,#3,Portland Trail Blazers,G,9/19/1991,6-3 / 1.91,197 lbs. / 89.4 kg.,"$27,556,959 ",USA,2013,1,10,Lehigh,NBA2k20,#N/A,#N/A
Victor Oladipo,87,#4,Indiana Pacers,G,5/4/1992,6-4 / 1.93,213 lbs. / 96.6 kg.,"$21,000,000 ",USA,2013,1,2,Indiana,NBA2k20,78,28
Kristaps Porzingis,87,#6,Dallas Mavericks,F-C,8/2/1995,7-3 / 2.21,220 lbs. / 99.8 kg.,"$27,285,000 ",Latvia,2015,1,4,,NBA2k20,485,214
D'Angelo Russell,87,#0,Minnesota Timberwolves,G,2/23/1996,6-4 / 1.93,193 lbs. / 87.5 kg.,"$27,285,000 ",USA,2015,1,2,Ohio State,NBA2k20,0,232
Pascal Siakam,87,#43,Toronto Raptors,F,4/2/1994,6-9 / 2.06,227 lbs. / 103 kg.,"$2,351,838 ",Cameroon,2016,1,27,New Mexico State,NBA2k20,#N/A,#N/A
Ben Simmons,87,#25,Philadelphia 76ers,F,7/20/1996,6-10 / 2.08,240 lbs. / 108.9 kg.,"$8,113,929 ",Australia,2016,1,1,LSU,NBA2k20,#N/A,#N/A
De'Aaron Fox,86,#5,Sacramento Kings,G,12/20/1997,6-3 / 1.91,171 lbs. / 77.6 kg.,"$6,392,760 ",USA,2017,1,5,Kentucky,NBA2k20,#N/A,#N/A
Devin Booker,86,#1,Phoenix Suns,G,10/30/1996,6-5 / 1.96,206 lbs. / 93.4 kg.,"$27,285,000 ",USA,2015,1,13,Kentucky,NBA2k20,1170.5,335.5
DeMarcus Cousins,86,#0,Free agent,C,8/13/1990,6-10 / 2.08,270 lbs. / 122.5 kg.,"$3,500,000 ",USA,2010,1,5,Kentucky,NBA2k20,102,91.5
Andre Drummond,86,#0,Cleveland Cavaliers,C,8/10/1993,6-10 / 2.08,270 lbs. / 122.5 kg.,"$27,093,018 ",USA,2012,1,9,UConn,NBA2k20,0,25
Draymond Green,86,#23,Golden State Warriors,F,3/4/1990,6-6 / 1.98,230 lbs. / 104.3 kg.,"$18,539,130 ",USA,2012,2,35,Michigan State,NBA2k20,627,168.5
Jrue Holiday,86,#11,New Orleans Pelicans,G,6/12/1990,6-3 / 1.91,180 lbs. / 81.6 kg.,"$26,131,111 ",USA,2009,1,17,UCLA,NBA2k20,0,39
Nikola Vucevic,86,#9,Orlando Magic,C,10/24/1990,6-11 / 2.11,240 lbs. / 108.9 kg.,"$28,000,000 ",Montenegro,2011,1,16,USC,NBA2k20,5.5,35.5
John Wall,86,#2,Washington Wizards,G,9/6/1990,6-4 / 1.93,195 lbs. / 88.5 kg.,"$38,199,000 ",USA,2010,1,1,Kentucky,NBA2k20,0,77
Jayson Tatum,85,#0,Boston Celtics,F,3/3/1998,6-8 / 2.03,204 lbs. / 92.5 kg.,"$7,830,000 ",USA,2017,1,3,Duke,NBA2k20,#N/A,#N/A
Trae Young,85,#11,Atlanta Hawks,G,9/19/1998,6-1 / 1.85,180 lbs. / 81.6 kg.,"$6,273,000 ",USA,2018,1,5,Oklahoma,NBA2k20,#N/A,#N/A
Eric Bledsoe,85,#6,Milwaukee Bucks,G,12/9/1989,6-1 / 1.85,195 lbs. / 88.5 kg.,"$15,625,000 ",USA,2010,1,18,Kentucky,NBA2k20,9,30.5
Clint Capela,85,#15,Atlanta Hawks,C,5/18/1994,6-10 / 2.08,211 lbs. / 95.7 kg.,"$16,896,552 ",Switzerland,2014,1,25,,NBA2k20,120,45.5
Tobias Harris,85,#12,Philadelphia 76ers,F,7/15/1992,6-8 / 2.03,226 lbs. / 102.5 kg.,"$32,742,000 ",USA,2011,1,19,Tennessee,NBA2k20,2,4
