Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,salary
64,Ayo Dosunmu,SG,22,CHI,5,1,17.2,1.6,5.2,0.308,0.6,2.6,0.231,1,2.6,0.385,0.365,0.2,0.2,1,0.8,1.8,2.6,2.2,0.2,0,0.6,1,4,#N/A
65,Goran Dragi?,PG,35,BRK,4,0,19.8,4.5,8,0.563,1,3,0.333,3.5,5,0.7,0.625,0.5,0.5,1,1.5,3,4.5,1.5,0.8,0,1.3,2.8,10.5,19217900.00
66,Andre Drummond,C,28,BRK,4,4,15,1.5,2.8,0.545,0,0,0,1.5,2.8,0.545,0.545,0.8,1.3,0.6,0.8,2.3,3,0.8,1.3,0.8,1.5,3,3.8,27093018.00
67,Kevin Durant,PF,33,BRK,4,4,44,8,20.8,0.386,1.8,5.3,0.333,6.3,15.5,0.403,0.428,8.5,9.5,0.895,0.5,5.3,5.8,6.3,1,0.3,5.3,3.8,26.3,37199000.00
68,Anthony Edwards,SG,20,MIN,6,6,37.8,8.3,18.3,0.455,3.8,9.5,0.404,4.5,8.8,0.509,0.559,4.7,5.7,0.824,0.7,3.5,4.2,3,1.2,1.2,2.5,3.7,25.2,#N/A
69,Kessler Edwards,SF,21,BRK,2,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,1.5,0,#N/A
70,Joel Embiid,C,27,PHI,10,10,38.5,7.8,16.1,0.484,0.7,3.3,0.212,7.1,12.8,0.555,0.506,7.3,8.9,0.82,2.1,8.6,10.7,2.1,0.4,0.8,3.2,3.4,23.6,27504630.00
71,Dorian Finney-Smith,PF,28,DAL,18,18,38.2,4.1,8.7,0.471,2.6,6,0.426,1.6,2.7,0.571,0.618,0.9,1.3,0.708,1.8,3.7,5.5,1.9,0.9,0.4,1,2.9,11.7,4000000.00
72,Malik Fitts,PF,24,BOS,9,0,1.8,0.3,0.4,0.75,0.2,0.2,1,0.1,0.2,0.5,1,0,0,0,0,0.2,0.2,0,0,0,0,0,0.9,#N/A
73,Malachi Flynn,PG,23,TOR,6,0,6,0,1.2,0,0,0.5,0,0,0.7,0,0,0,0,0,0.3,0.2,0.5,0.5,0.2,0,0.2,1,0,#N/A
74,Bryn Forbes,SG,28,DEN,5,0,15.2,1.2,3,0.4,0.8,2.2,0.364,0.4,0.8,0.5,0.533,0.8,1,0.8,0.2,0.4,0.6,1.4,0.2,0,0.4,1.4,4,2875000.00
75,Danilo Gallinari,PF,33,ATL,5,3,22.4,3.6,9,0.4,0.8,3,0.267,2.8,6,0.467,0.444,2.2,2.2,1,0.4,3.8,4.2,0.8,0.2,0,1,1.2,10.2,22615559.00
76,Rudy Gobert,C,29,UTA,6,6,32.8,3.5,5.5,0.636,0,0,0,3.5,5.5,0.636,0.636,5,7.3,0.682,3.5,9.7,13.2,0.5,0.2,1,1.3,3.2,12,25258427.00
77,Aaron Gordon,PF,26,DEN,5,5,32,4.6,10.8,0.426,0.6,3,0.2,4,7.8,0.513,0.454,4,5.6,0.714,3.6,3.6,7.2,2.6,0.4,1.2,1.6,2.8,13.8,19863636.00
78,Devonte' Graham,PG,26,NOP,6,0,10,1,3,0.333,0.8,2.3,0.357,0.2,0.7,0.25,0.472,1.2,1.3,0.875,0.3,1.2,1.5,0.7,0.2,0.2,0.7,0.5,4,#N/A
