rating,height,weight,draft_year,draft_round,draft_peak,TWITTER_FAVORITE_COUNT,TWITTER_RETWEET_COUNT,TWITTER_FOLLOWER_COUNT_MILLIONS,Experience,Age,bmi,team_salary,position_C,position_C-F,position_F,position_F-C,position_F-G,position_G,position_G-F,country_USA,country_not USA
71,2.18,108.9,2017,0,0,583.257281553398,198.99757281553397,2.850071428571429,6.0,28.0,22.914737816682095,2,1,0,0,0,0,0,0,1,0
87,2.08,108.9,2016,1,1,583.257281553398,198.99757281553397,2.850071428571429,7.0,27.0,25.17104289940828,6,0,0,1,0,0,0,0,0,1
76,1.91,95.3,2012,1,4,0.0,7.0,2.850071428571429,11.0,32.0,26.12318741262575,6,0,0,0,0,0,1,0,1,0
72,1.98,102.1,2007,1,22,31.0,4.0,2.850071428571429,16.0,38.0,26.04326089174574,6,0,0,1,0,0,0,0,1,0
74,1.93,95.3,2016,1,14,23.0,24.0,2.850071428571429,7.0,30.0,25.584579451797364,2,0,0,0,0,0,1,0,1,0
86,1.91,81.6,2009,1,17,0.0,39.0,0.129,14.0,33.0,22.36780790000274,3,0,0,0,0,0,1,0,1,0
73,1.96,104.3,2017,2,46,583.257281553398,198.99757281553397,2.850071428571429,6.0,28.0,27.150145772594755,6,0,0,0,0,0,1,0,1,0
77,2.13,120.2,2016,2,32,5.0,43.0,2.850071428571429,7.0,26.0,26.493861447243717,6,1,0,0,0,0,0,0,0,1
84,2.03,100.2,2017,1,27,583.257281553398,198.99757281553397,2.850071428571429,6.0,28.0,24.315076803610868,6,0,0,1,0,0,0,0,1,0
72,2.08,106.1,2017,1,17,583.257281553398,198.99757281553397,2.850071428571429,6.0,27.0,24.523853550295854,6,0,0,1,0,0,0,0,1,0
69,2.08,109.8,2016,1,18,6.5,5.0,2.850071428571429,7.0,26.0,25.379068047337274,1,0,0,0,1,0,0,0,1,0
88,2.16,108.0,2013,1,27,731.0,225.5,0.195,10.0,31.0,23.148148148148145,6,1,0,0,0,0,0,0,0,1
72,1.93,93.0,2018,1,17,583.257281553398,198.99757281553397,2.850071428571429,5.0,26.0,24.967113211092915,6,0,0,0,0,0,1,0,1,0
88,1.83,78.0,2011,1,9,59.5,32.5,0.336,12.0,33.0,23.291229956104985,4,0,0,0,0,0,1,0,1,0
71,2.08,108.9,2016,2,31,583.257281553398,198.99757281553397,2.850071428571429,7.0,27.0,25.17104289940828,1,0,0,0,1,0,0,0,1,0
87,2.21,99.8,2015,1,4,485.0,214.0,2.850071428571429,8.0,28.0,20.433652054626236,6,0,0,0,1,0,0,0,0,1
72,1.93,98.9,2019,1,30,583.257281553398,198.99757281553397,2.850071428571429,4.0,23.0,26.551048350291286,6,0,0,0,0,0,0,1,1,0
71,1.98,115.7,2019,2,41,583.257281553398,198.99757281553397,2.850071428571429,4.0,27.0,29.51229466380982,6,0,0,1,0,0,0,0,1,0
96,1.96,99.8,2009,1,3,969.0,321.5,4.47,14.0,34.0,25.978758850478968,6,0,0,0,0,0,1,0,1,0
75,2.06,97.5,2018,2,40,583.257281553398,198.99757281553397,2.850071428571429,5.0,25.0,22.975775285135263,6,0,0,1,0,0,0,0,0,1
83,2.03,113.4,2014,1,7,102.0,59.0,0.358,9.0,29.0,27.51826057414643,1,0,0,1,0,0,0,0,1,0
77,2.08,106.1,2014,2,45,0.0,10.0,2.850071428571429,9.0,32.0,24.523853550295854,6,0,0,0,1,0,0,0,0,1
75,2.13,115.7,2008,1,15,583.257281553398,198.99757281553397,2.850071428571429,15.0,35.0,25.50199475412727,6,1,0,0,0,0,0,0,1,0
88,2.06,103.0,2016,1,27,583.257281553398,198.99757281553397,2.850071428571429,7.0,29.0,24.271844660194176,6,0,0,1,0,0,0,0,0,1
76,2.03,94.3,2014,1,23,583.257281553398,198.99757281553397,2.850071428571429,9.0,31.0,22.883350724356337,6,0,0,1,0,0,0,0,1,0
