full_name,rating,jersey,team,position,b_day,height,weight,salary,country,draft_year,draft_round,draft_peak,college,version
Brandon Clarke,73,#15,Memphis Grizzlies,F,9/19/1996,6-8 / 2.03,215 lbs. / 97.5 kg.,"$2,478,840 ",Canada,2019,1,21,Gonzaga,NBA2k20
Nicolo Melli,73,#20,New Orleans Pelicans,F,1/26/1991,6-9 / 2.06,236 lbs. / 107 kg.,"$4,102,564 ",Italy,2013,Undrafted,Undrafted,,NBA2k20
Nassir Little,73,#9,Portland Trail Blazers,F,2/11/2000,6-5 / 1.96,220 lbs. / 99.8 kg.,"$2,105,520 ",USA,2019,1,25,North Carolina,NBA2k20
Grayson Allen,72,#3,Memphis Grizzlies,G,10/8/1995,6-4 / 1.93,205 lbs. / 93 kg.,"$2,429,400 ",USA,2018,1,21,Duke,NBA2k20
Antonio Blakeney,72,#0,,G-F,10/4/1996,6-4 / 1.93,197 lbs. / 89.4 kg.,"$1,488,231 ",USA,2017,Undrafted,Undrafted,LSU,NBA2k20
Michael Carter-Williams,72,#7,Orlando Magic,G,10/10/1991,6-5 / 1.96,184 lbs. / 83.5 kg.,"$2,028,594 ",USA,2013,1,11,Syracuse,NBA2k20
Troy Daniels,72,#30,Denver Nuggets,G,7/15/1991,6-4 / 1.93,200 lbs. / 90.7 kg.,"$2,487,033 ",USA,2013,Undrafted,Undrafted,VCU,NBA2k20
Donte DiVincenzo,72,#0,Milwaukee Bucks,G,1/31/1997,6-4 / 1.93,205 lbs. / 93 kg.,"$2,905,800 ",USA,2018,1,17,Villanova,NBA2k20
Jared Dudley,72,#10,Los Angeles Lakers,F,7/10/1985,6-6 / 1.98,225 lbs. / 102.1 kg.,"$2,564,753 ",USA,2007,1,22,Boston College,NBA2k20
Cristiano Felicio,72,#6,Chicago Bulls,F,7/7/1992,6-10 / 2.08,270 lbs. / 122.5 kg.,"$8,156,500 ",Brazil,2014,Undrafted,Undrafted,,NBA2k20
Tim Frazier,72,#0,,G,11/1/1990,6-0 / 1.83,170 lbs. / 77.1 kg.,"$1,620,564 ",USA,2014,Undrafted,Undrafted,Penn State,NBA2k20
Langston Galloway,72,#9,Detroit Pistons,G,12/9/1991,6-1 / 1.85,202 lbs. / 91.6 kg.,"$7,333,333 ",USA,2014,Undrafted,Undrafted,Saint Joseph's,NBA2k20
Justin Holiday,72,#8,Indiana Pacers,G,4/5/1989,6-6 / 1.98,180 lbs. / 81.6 kg.,"$4,767,000 ",USA,2011,Undrafted,Undrafted,Washington,NBA2k20
